date,vendor,category,amount
2026-04-01,某餐厅,餐饮,128.50
2026-04-01,顺丰速运,办公,68.00
2026-04-02,滴滴出行,差旅,45.00
2026-04-02,阿里云,云服务,399.00
2026-04-03,某打印店,办公,245.80
2026-04-03,员工薪资,工资,8000.00
2026-04-04,某餐厅,餐饮,256.00
2026-04-05,腾讯云,云服务,199.00
2026-04-06,某餐厅,餐饮,189.50
2026-04-07,高铁购票,差旅,320.00
2026-04-08,某餐厅,餐饮,456.80
2026-04-08,办公用品超市,办公,312.40
2026-04-09,员工薪资,工资,6500.00
2026-04-09,某快递,办公,35.00
2026-04-10,腾讯云,云服务,299.00
2026-04-10,某餐厅,餐饮,178.00
2026-04-11,高铁购票,差旅,425.00
2026-04-12,某餐厅,餐饮,98.00
2026-04-13,某打印店,办公,156.00
2026-04-14,阿里云,云服务,599.00
2026-04-14,某餐厅,餐饮,342.00
2026-04-15,某交通,差旅,145.00
2026-04-15,某餐厅,餐饮,289.60
2026-04-16,腾讯云,云服务,199.00
2026-04-16,办公用品超市,办公,88.50
2026-04-17,某餐厅,餐饮,215.00
2026-04-18,高铁购票,差旅,520.00
2026-04-18,某快递,办公,42.00
2026-04-19,员工薪资,工资,7200.00
2026-04-19,某餐厅,餐饮,168.00
2026-04-20,阿里云,云服务,299.00
2026-04-20,某餐厅,餐饮,378.00
2026-04-21,某打印店,办公,198.00
2026-04-21,滴滴出行,差旅,68.00
2026-04-22,腾讯云,云服务,399.00
2026-04-22,某餐厅,餐饮,128.00
2026-04-23,办公用品超市,办公,265.00
2026-04-24,高铁购票,差旅,380.00
2026-04-24,某餐厅,餐饮,456.00
2026-04-25,阿里云,云服务,199.00
2026-04-25,某餐厅,餐饮,289.00
2026-04-26,某快递,办公,56.00
2026-04-27,员工薪资,工资,5500.00
2026-04-27,某餐厅,餐饮,176.00
2026-04-28,腾讯云,云服务,299.00
2026-04-28,某打印店,办公,125.00
2026-04-29,高铁购票,差旅,460.00
2026-04-29,某餐厅,餐饮,318.00
2026-04-30,阿里云,云服务,199.00
2026-04-30,某餐厅,餐饮,245.00
