date,vendor,category,amount
2026-09-05,某茶馆,餐饮,248.57
2026-09-05,AWS中国,云服务,173.5
2026-09-07,某打印店,办公,236.22
2026-09-08,员工薪资B,工资,8274.44
2026-09-09,某茶馆,餐饮,138.66
2026-09-09,某餐厅A,餐饮,336.23
2026-09-09,某快餐,餐饮,222.04
2026-09-11,京东办公,办公,218.44
2026-09-14,某餐厅A,餐饮,310.25
2026-09-14,某文具店,办公,440.64
2026-09-15,员工薪资C,工资,8397.42
2026-09-17,高铁票务,差旅,452.69
2026-09-18,某餐厅B,餐饮,109.68
2026-09-19,如家酒店,差旅,366.63
2026-09-19,员工薪资C,工资,10680.05
2026-09-20,员工薪资A,工资,11147.18
2026-09-20,某餐厅B,餐饮,346.63
2026-09-20,某火锅店,餐饮,161.44
2026-09-20,高铁票务,差旅,453.89
2026-09-21,员工薪资A,工资,11994.35
2026-09-21,七牛云,云服务,402.29
2026-09-22,员工薪资D,工资,10349.36
2026-09-22,京东办公,办公,77.25
2026-09-24,某快餐,餐饮,256.83
2026-09-24,某快餐,餐饮,290.06
2026-09-24,某打印店,办公,300.37
2026-09-25,美团打车,差旅,251.17
2026-09-26,某茶馆,餐饮,84.26
2026-09-27,某文具店,办公,472.57
2026-09-27,某打印店,办公,338.77
2026-09-27,某文具店,办公,378.33
2026-09-27,某快餐,餐饮,106.07
2026-09-28,某餐厅B,餐饮,292.93
2026-09-28,某餐厅A,餐饮,176.73
2026-09-28,顺丰速运,办公,270.62
2026-09-29,高铁票务,差旅,417.55
2026-09-30,顺丰速运,办公,194.95
